Debit horaire;Heure;Etat trafic;Taux d'occupation
157.0;22;Fluide;1.79444
0.0;22;Fluide;3.70167
183.0;22;Fluide;1.24278
417.0;22;Fluide;5.57056
329.0;22;Fluide;5.74056
190.0;22;Fluide;3.36945
0.0;22;Fluide;3.18722
274.0;22;Inconnu;0.0
0.0;22;Fluide;0.80611
0.0;22;Fluide;2.03611
0.0;22;Fluide;1.12222
0.0;22;Fluide;2.74222
499.0;22;Fluide;5.26833
0.0;22;Fluide;5.11
132.0;22;Bloqué;77.90056
174.0;22;Fluide;5.14778
0.0;22;Fluide;2.50833
162.0;22;Fluide;1.40055
0.0;22;Fluide;3.44889
178.0;22;Fluide;3.495
0.0;22;Fluide;2.94111
178.0;22;Fluide;1.71389
0.0;22;Fluide;1.42556
0.0;22;Fluide;3.32111
158.0;22;Fluide;1.21667
18.0;22;Fluide;0.13167
18.0;22;Fluide;1.18945
146.0;22;Fluide;3.91278
104.0;22;Fluide;1.97
300.0;22;Saturé;37.30889
335.0;22;Saturé;34.20723
381.0;22;Fluide;7.285
278.0;22;Fluide;5.49667
142.0;22;Fluide;1.83889
354.0;22;Fluide;5.54278
0.0;22;Fluide;7.89778
122.0;22;Fluide;3.26056
122.0;22;Fluide;2.04389
0.0;22;Fluide;0.96556
122.0;22;Fluide;1.26945
0.0;22;Fluide;1.79778
146.0;22;Fluide;2.41889
122.0;22;Fluide;0.60833
0.0;22;Fluide;5.26445
145.0;22;Pré-saturé;26.56278
208.0;22;Fluide;7.78278
553.0;22;Fluide;7.32111
0.0;22;Fluide;4.65611
405.0;22;Inconnu;0.0
165.0;22;Inconnu;0.0
480.0;22;Fluide;4.94889
360.0;22;Fluide;8.28722
389.0;22;Fluide;1.65778
871.0;22;Fluide;13.55167
839.0;22;Fluide;0.58556
299.0;22;Fluide;2.43
0.0;22;Fluide;7.87055
13.0;22;Inconnu;0.0
100.0;22;Fluide;1.13889
127.0;22;Fluide;3.52445
100.0;22;Inconnu;0.0
239.0;22;Fluide;3.02556
127.0;22;Fluide;1.28445
437.0;22;Fluide;1.61444
141.0;22;Fluide;1.53
0.0;22;Fluide;0.27667
172.0;22;Inconnu;0.0
131.0;22;Inconnu;0.0
0.0;22;Saturé;45.08
207.0;22;Fluide;2.98167
131.0;22;Fluide;3.645
411.0;22;Inconnu;0.0
185.0;22;Inconnu;0.0
190.0;22;Fluide;2.31278
233.0;22;Inconnu;0.0
1124.0;22;Fluide;1.02111
0.0;22;Fluide;0.96222
67.0;22;Fluide;1.01611
202.0;22;Fluide;0.52389
202.0;22;Inconnu;0.0
0.0;22;Fluide;5.49167
473.0;22;Inconnu;0.0
425.7;22;Inconnu;0.0
0.0;22;Fluide;0.70778
239.0;22;Fluide;0.64667
239.0;22;Fluide;3.315
242.0;22;Fluide;4.25445
242.0;22;Fluide;3.61667
3207.0;22;Fluide;13.14
1221.0;22;Fluide;7.62389
1221.0;22;Inconnu;0.0
615.0;22;Fluide;1.84111
162.0;22;Fluide;4.245
0.0;22;Fluide;8.95
589.5;22;Inconnu;0.0
0.0;22;Fluide;2.38833
95.0;22;Fluide;1.07667
0.0;22;Fluide;3.12
0.0;22;Fluide;5.96834
122.0;22;Fluide;0.355
5.0;22;Fluide;1.20722
644.0;22;Pré-saturé;20.57056
103.0;22;Inconnu;0.0
132.0;22;Fluide;2.32444
103.0;22;Fluide;2.6
230.0;22;Fluide;7.54111
0.0;22;Fluide;13.08833
0.0;22;Pré-saturé;22.33389
2340.0;22;Fluide;5.8
3781.0;22;Fluide;10.8
1824.0;22;Fluide;4.55
4238.0;22;Fluide;12.55
195.0;22;Fluide;12.38445
730.0;22;Fluide;3.47
313.0;22;Inconnu;0.0
195.0;22;Fluide;0.51222
0.0;22;Fluide;4.83667
195.0;22;Inconnu;0.0
730.0;22;Fluide;6.12
0.0;22;Fluide;10.34611
730.0;22;Inconnu;0.0
925.0;22;Inconnu;0.0
644.0;22;Fluide;1.76056
36.0;22;Fluide;5.60167
401.0;22;Fluide;8.42222
592.0;22;Fluide;4.99389
644.0;22;Fluide;4.02667
311.0;22;Inconnu;0.0
263.0;22;Fluide;0.04056
263.0;22;Fluide;0.38722
313.0;22;Fluide;2.28556
175.0;22;Fluide;0.985
872.0;22;Pré-saturé;20.41222
333.0;22;Inconnu;0.0
132.0;22;Inconnu;0.0
185.0;22;Fluide;1.07389
873.0;22;Fluide;2.37778
361.0;22;Fluide;5.13055
105.0;22;Fluide;3.42778
11.0;22;Fluide;0.05
703.0;22;Fluide;3.65778
305.0;22;Fluide;1.35667
3856.0;22;Fluide;11.15
45.0;22;Fluide;0.84167
83.0;22;Fluide;1.77278
105.0;22;Fluide;1.22389
0.0;22;Fluide;4.01445
466.0;22;Fluide;3.21222
352.0;22;Inconnu;0.0
0.0;22;Fluide;3.30722
0.0;22;Fluide;3.33944
701.0;22;Fluide;9.25056
0.0;22;Fluide;9.32722
728.0;22;Saturé;43.60111
641.0;22;Fluide;6.94722
588.0;22;Inconnu;0.0
292.0;22;Fluide;3.17556
564.0;22;Inconnu;0.0
588.0;22;Fluide;4.24611
532.0;22;Fluide;5.775
1137.0;22;Fluide;4.76222
532.0;22;Inconnu;0.0
454.0;22;Fluide;3.13278
364.0;22;Fluide;2.63445
0.0;22;Fluide;4.46167
0.0;22;Fluide;5.605
0.0;22;Fluide;1.38945
496.0;22;Fluide;3.38667
772.0;22;Fluide;1.925
2682.0;22;Pré-saturé;20.96889
584.0;22;Fluide;1.93833
173.0;22;Inconnu;0.0
0.0;22;Fluide;6.36333
329.0;22;Fluide;5.21889
329.0;22;Inconnu;0.0
752.0;22;Fluide;3.77167
1084.0;22;Fluide;6.32445
210.0;22;Inconnu;0.0
106.0;22;Inconnu;0.0
106.0;22;Fluide;0.69778
0.0;22;Fluide;1.12667
185.0;22;Fluide;0.98278
274.0;22;Fluide;3.46389
0.0;22;Fluide;0.09778
0.0;22;Fluide;3.63611
152.0;22;Fluide;2.11445
152.0;22;Fluide;2.63334
294.0;22;Fluide;5.21223
7.0;22;Fluide;0.0
0.0;22;Fluide;7.05333
299.0;22;Fluide;8.17945
573.0;22;Fluide;6.22445
207.0;22;Fluide;2.07833
684.0;22;Fluide;5.78833
117.0;22;Inconnu;0.0
684.0;22;Fluide;3.87445
389.0;22;Fluide;6.07389
469.0;22;Fluide;6.41611
456.0;22;Inconnu;0.0
455.0;22;Fluide;1.70222
0.0;22;Fluide;1.05889
148.0;22;Fluide;2.55667
334.0;22;Fluide;4.63111
641.0;22;Inconnu;0.0
393.0;22;Inconnu;0.0
393.0;22;Fluide;6.42278
0.0;22;Fluide;3.44611
435.0;22;Fluide;1.37834
160.0;22;Inconnu;0.0
1585.0;22;Pré-saturé;24.665
335.0;22;Fluide;13.72889
690.0;22;Fluide;4.71222
0.0;22;Fluide;3.13722
547.0;22;Fluide;4.00222
523.0;22;Fluide;9.02778
505.0;22;Fluide;4.83056
449.0;22;Fluide;10.12945
316.0;22;Fluide;4.28389
294.0;22;Fluide;5.76
316.0;22;Pré-saturé;18.34223
129.0;22;Fluide;7.06611
452.0;22;Inconnu;0.0
366.0;22;Fluide;5.63556
129.0;22;Fluide;1.68389
266.0;22;Fluide;6.65667
432.0;22;Fluide;6.46333
538.0;22;Fluide;10.13334
361.0;22;Fluide;6.12611
518.0;22;Pré-saturé;16.74834
0.0;22;Fluide;12.40611
0.0;22;Fluide;6.155
0.0;22;Bloqué;55.68444
494.0;22;Inconnu;0.0
183.0;22;Inconnu;0.0
291.0;22;Fluide;2.71944
183.0;22;Fluide;1.27
0.0;22;Fluide;1.26833
494.0;22;Fluide;2.19667
162.0;22;Inconnu;0.0
285.0;22;Fluide;2.00056
0.0;22;Fluide;2.36
0.0;22;Fluide;4.61667
0.0;22;Fluide;4.55722
677.0;22;Fluide;5.68278
198.0;22;Fluide;1.35667
2617.0;22;Fluide;7.3
4918.0;22;Fluide;14.8
6356.0;22;Pré-saturé;16.05
0.0;22;Fluide;4.95
2796.0;22;Fluide;7.2
4056.0;22;Fluide;11.95
197.0;22;Fluide;1.14167
158.0;22;Fluide;0.875
2582.0;22;Fluide;6.8
5258.0;22;Pré-saturé;15.75
0.0;22;Fluide;6.45111
4916.0;22;Fluide;14.5
88.0;22;Inconnu;0.0
30.0;22;Fluide;0.30222
1063.0;22;Fluide;0.77278
1221.0;22;Fluide;3.38111
1009.0;22;Fluide;5.6
2670.0;22;Fluide;11.33111
183.0;22;Fluide;0.08667
0.0;22;Fluide;1.50445
290.0;22;Fluide;1.63834
435.0;22;Inconnu;0.0
435.0;22;Fluide;4.20389
3545.0;22;Fluide;10.05
0.0;22;Fluide;0.63223
0.0;22;Fluide;1.71333
333.0;22;Fluide;2.37167
152.0;22;Inconnu;0.0
646.0;22;Pré-saturé;15.78556
152.0;22;Fluide;3.68722
458.0;22;Pré-saturé;28.82445
458.0;22;Inconnu;0.0
285.0;22;Fluide;3.72556
426.0;22;Inconnu;0.0
277.0;22;Fluide;7.75611
146.0;22;Fluide;1.91889
104.0;22;Fluide;2.32611
115.0;22;Fluide;0.68889
197.0;22;Fluide;8.17611
115.0;22;Fluide;1.30944
197.0;22;Inconnu;0.0
0.0;22;Fluide;6.72111
0.0;22;Fluide;1.35667
157.0;22;Fluide;1.20056
174.0;22;Fluide;2.87834
174.0;22;Inconnu;0.0
239.0;22;Fluide;2.65334
355.0;22;Fluide;3.89334
242.0;22;Inconnu;0.0
1798.0;22;Fluide;11.35
2366.0;22;Fluide;9.15
658.0;22;Fluide;7.15945
0.0;22;Fluide;10.32945
260.0;22;Inconnu;0.0
447.0;22;Inconnu;0.0
447.0;22;Fluide;4.32667
447.0;22;Fluide;4.795
203.0;22;Inconnu;0.0
0.0;22;Fluide;9.17333
305.0;22;Fluide;2.80444
0.0;22;Fluide;6.88723
305.0;22;Inconnu;0.0
305.0;22;Fluide;1.41389
703.0;22;Inconnu;0.0
38.0;22;Inconnu;0.0
316.0;22;Fluide;10.09389
836.0;22;Fluide;11.605
719.0;22;Fluide;6.39222
128.0;22;Inconnu;0.0
496.0;22;Fluide;1.47278
496.0;22;Inconnu;0.0
0.0;22;Fluide;13.15944
363.0;22;Fluide;2.25
0.0;22;Fluide;4.55
0.0;22;Fluide;3.35
988.0;22;Fluide;6.8
2111.0;22;Fluide;11.0
0.0;22;Fluide;8.35
388.0;22;Fluide;4.1
0.0;22;Fluide;8.50611
0.0;22;Fluide;6.77778
701.0;22;Fluide;2.51444
1124.0;22;Fluide;0.00889
508.0;22;Fluide;5.37334
215.0;22;Fluide;0.75945
215.0;22;Fluide;0.50334
906.0;22;Fluide;4.545
193.0;22;Fluide;1.99445
193.0;22;Fluide;10.11056
773.0;22;Fluide;2.67334
328.0;22;Fluide;2.25556
31.0;22;Fluide;0.1
28.0;22;Fluide;0.1
701.0;22;Saturé;32.27444
2982.0;22;Fluide;8.25
32.0;22;Fluide;0.1
511.0;22;Saturé;35.52944
351.0;22;Fluide;4.76278
351.0;22;Fluide;5.00444
0.0;22;Fluide;11.92667
0.0;22;Fluide;1.54555
515.0;22;Fluide;7.54056
328.0;22;Fluide;0.88945
161.0;22;Fluide;1.585
511.0;22;Fluide;3.42222
741.0;22;Fluide;3.57111
29.0;22;Inconnu;0.0
231.0;22;Fluide;6.94167
0.0;22;Fluide;2.39889
120.0;22;Fluide;0.74556
183.0;22;Fluide;2.58056
438.0;22;Fluide;2.46389
351.0;22;Fluide;12.86723
148.0;22;Fluide;3.29278
0.0;22;Fluide;2.56111
0.0;22;Fluide;3.38834
207.0;22;Fluide;11.72778
423.0;22;Fluide;11.67389
455.0;22;Inconnu;0.0
376.0;22;Fluide;2.49111
455.0;22;Fluide;5.43111
376.0;22;Fluide;3.77889
752.0;22;Fluide;0.25056
239.0;22;Fluide;7.98834
239.0;22;Inconnu;0.0
204.0;22;Fluide;2.42834
435.0;22;Fluide;2.95389
338.0;22;Fluide;3.69389
168.0;22;Fluide;2.79944
100.0;22;Fluide;3.12667
168.0;22;Fluide;1.30778
563.0;22;Fluide;4.50611
515.0;22;Fluide;0.91833
326.0;22;Inconnu;0.0
140.0;22;Fluide;0.29167
0.0;22;Fluide;3.24555
47.0;22;Fluide;0.35778
0.0;22;Fluide;0.63055
1456.0;22;Fluide;7.34778
310.0;22;Fluide;5.54
429.5;22;Fluide;5.075
0.0;22;Fluide;2.22556
0.0;22;Fluide;0.80167
0.0;22;Fluide;6.33556
0.0;22;Fluide;2.58278
0.0;22;Fluide;11.23778
0.0;22;Fluide;2.74722
0.0;22;Fluide;2.43278
175.0;22;Fluide;1.92889
209.0;22;Fluide;8.36667
1033.0;22;Fluide;7.18056
0.0;22;Fluide;1.74389
971.0;22;Fluide;3.06222
0.0;22;Fluide;7.79111
991.0;22;Fluide;6.76223
991.0;22;Fluide;9.86611
0.0;22;Fluide;14.47
55.0;22;Fluide;0.59389
38.0;22;Fluide;0.82944
220.0;22;Fluide;0.59389
192.0;22;Fluide;5.94278
311.0;22;Pré-saturé;16.48167
209.0;22;Fluide;2.93
0.0;22;Fluide;2.84167
333.6;22;Fluide;1.49833
1163.0;22;Saturé;31.69
0.0;22;Fluide;5.96611
11.0;22;Fluide;6.20389
798.0;22;Inconnu;0.0
11.0;22;Inconnu;0.0
798.0;22;Fluide;5.96611
0.0;22;Fluide;7.975
156.0;22;Inconnu;0.0
327.0;22;Fluide;2.81
246.0;22;Inconnu;0.0
246.0;22;Fluide;0.89
0.0;22;Fluide;0.92667
830.0;22;Pré-saturé;21.25945
830.0;22;Inconnu;0.0
423.0;22;Fluide;5.26611
278.0;22;Fluide;1.78222
333.6;22;Fluide;3.015
1585.0;22;Inconnu;0.0
423.0;22;Fluide;5.3
497.0;22;Fluide;7.05111
2682.0;22;Fluide;8.50611
1050.0;22;Bloqué;52.03389
1308.0;22;Fluide;3.38111
474.0;22;Fluide;3.95555
1227.0;22;Fluide;0.63889
144.0;22;Inconnu;0.0
327.0;22;Fluide;1.09945
0.0;22;Fluide;0.99445
772.0;22;Fluide;1.22334
526.0;22;Inconnu;0.0
839.0;22;Fluide;5.4
230.0;22;Fluide;2.75945
547.0;22;Fluide;1.02278
1456.0;22;Inconnu;0.0
0.0;22;Fluide;5.18111
1218.0;22;Fluide;6.22055
1218.0;22;Saturé;35.34167
1218.0;22;Saturé;32.35389
0.0;22;Fluide;1.37111
1374.0;22;Fluide;11.39445
0.0;22;Fluide;4.32445
274.0;22;Pré-saturé;15.41722
176.0;22;Fluide;1.635
628.0;22;Fluide;14.87833
176.0;22;Inconnu;0.0
266.0;22;Inconnu;0.0
419.0;22;Fluide;0.53223
528.0;22;Fluide;6.18611
393.0;22;Fluide;4.02667
628.0;22;Fluide;9.61389
628.0;22;Inconnu;0.0
724.0;22;Fluide;14.55222
724.0;22;Fluide;5.46611
724.0;22;Inconnu;0.0
473.0;22;Pré-saturé;25.04889
857.0;22;Fluide;10.95389
271.0;22;Inconnu;0.0
0.0;22;Fluide;4.27611
0.0;22;Fluide;8.83222
276.0;22;Inconnu;0.0
394.0;22;Fluide;1.57167
394.0;22;Fluide;2.65333
0.0;22;Fluide;6.37445
249.0;22;Fluide;1.57667
0.0;22;Fluide;1.96556
0.0;22;Fluide;1.84555
143.0;22;Fluide;0.40611
1160.0;22;Fluide;10.58778
652.0;22;Inconnu;0.0
741.0;22;Inconnu;0.0
534.3;22;Inconnu;0.0
554.0;22;Fluide;4.88167
394.8;22;Inconnu;0.0
571.0;22;Inconnu;0.0
741.0;22;Fluide;4.44056
455.0;22;Fluide;3.36834
186.0;22;Inconnu;0.0
455.0;22;Fluide;2.57833
1231.0;22;Fluide;9.04167
479.0;22;Fluide;6.03333
38.0;22;Fluide;0.75944
29.0;22;Fluide;0.07
0.0;22;Fluide;1.73778
0.0;22;Fluide;2.46222
465.0;22;Fluide;4.30445
1506.0;22;Fluide;8.83222
813.0;22;Fluide;1.23556
186.0;22;Fluide;1.32722
292.0;22;Fluide;1.95611
631.0;22;Fluide;5.28834
295.0;22;Fluide;5.425
752.0;22;Fluide;5.27222
295.0;22;Fluide;4.19056
631.0;22;Fluide;0.74945
0.0;22;Fluide;1.06
651.0;22;Fluide;5.56333
295.0;22;Fluide;0.0
745.0;22;Fluide;5.21833
684.0;22;Inconnu;0.0
684.0;22;Fluide;6.07556
200.0;22;Fluide;6.17334
579.0;22;Fluide;6.54056
1181.0;22;Fluide;8.52834
544.0;22;Fluide;6.17334
0.0;22;Fluide;2.84445
0.0;22;Fluide;2.29778
0.0;22;Fluide;0.09667
105.0;22;Fluide;11.17445
0.0;22;Fluide;8.34945
631.0;22;Fluide;5.56389
105.0;22;Pré-saturé;16.03445
0.0;22;Fluide;1.80167
859.0;22;Fluide;4.32778
710.0;22;Fluide;5.41334
0.0;22;Fluide;3.74556
0.0;22;Fluide;5.065
315.0;22;Fluide;4.08167
0.0;22;Fluide;2.70778
0.0;22;Fluide;0.13556
315.0;22;Fluide;6.55334
795.0;22;Inconnu;0.0
0.0;22;Fluide;5.72278
330.0;22;Fluide;0.13667
795.0;22;Fluide;3.53444
752.0;22;Pré-saturé;26.82111
335.0;22;Fluide;8.00945
0.0;22;Fluide;4.10222
345.0;22;Fluide;6.755
711.0;22;Inconnu;0.0
463.0;22;Fluide;2.02222
711.0;22;Fluide;3.13945
646.0;22;Fluide;6.88222
314.0;22;Fluide;4.52945
646.0;22;Fluide;11.31111
0.0;22;Fluide;1.74722
167.0;22;Fluide;4.09778
582.0;22;Fluide;6.16611
273.0;22;Inconnu;0.0
183.0;22;Fluide;2.11333
273.0;22;Fluide;3.52944
476.0;22;Fluide;6.72334
712.0;22;Fluide;3.69111
1053.0;22;Fluide;9.55556
139.0;22;Fluide;0.56611
0.0;22;Fluide;4.45889
242.0;22;Fluide;2.43611
476.0;22;Fluide;7.79555
200.9;22;Fluide;2.70111
0.0;22;Fluide;3.71834
178.0;22;Inconnu;0.0
154.0;22;Inconnu;0.0
250.0;22;Inconnu;0.0
203.0;22;Fluide;3.46222
514.5;22;Inconnu;0.0
75.0;22;Fluide;0.67389
239.0;22;Fluide;1.72778
343.0;22;Inconnu;0.0
343.0;22;Fluide;4.63889
0.0;22;Pré-saturé;22.53667
94.0;22;Fluide;1.43722
390.0;22;Fluide;1.995
0.0;22;Pré-saturé;19.15167
255.0;22;Fluide;3.17945
181.0;22;Fluide;0.03111
1014.0;22;Pré-saturé;26.60667
1030.0;22;Saturé;31.89
162.0;22;Fluide;3.83445
348.0;22;Fluide;3.41889
0.0;22;Fluide;1.10778
345.0;22;Fluide;4.53333
0.0;22;Fluide;1.50389
491.0;22;Fluide;10.26167
491.0;22;Fluide;1.855
147.0;22;Fluide;0.01667
491.0;22;Fluide;3.31334
103.0;22;Fluide;0.71889
382.5;22;Inconnu;0.0
661.0;22;Pré-saturé;17.155
18.0;22;Fluide;0.0
528.8;22;Inconnu;0.0
264.4;22;Inconnu;0.0
0.0;22;Saturé;31.77
661.0;22;Inconnu;0.0
1652.0;22;Fluide;6.45
116.0;22;Inconnu;0.0
0.0;22;Fluide;4.30444
2785.0;22;Fluide;10.1
1005.0;22;Fluide;2.9
123.0;22;Inconnu;0.0
156.0;22;Fluide;0.24611
123.0;22;Fluide;0.24778
437.0;22;Fluide;2.56222
259.0;22;Fluide;2.06722
259.0;22;Fluide;1.56056
217.0;22;Fluide;0.92278
0.0;22;Fluide;3.87778
2416.0;22;Fluide;8.45
2678.0;22;Fluide;8.55
325.0;22;Pré-saturé;17.57389
162.0;22;Fluide;1.36889
157.3;22;Fluide;1.80667
177.6;22;Inconnu;0.0
125.0;22;Fluide;4.73722
187.5;22;Fluide;4.73722
222.0;22;Fluide;2.17056
129.6;22;Fluide;0.79167
129.6;22;Fluide;0.66334
244.2;22;Fluide;1.60167
144.0;22;Fluide;1.00389
365.0;22;Fluide;3.80889
615.0;22;Fluide;5.04111
142.0;22;Fluide;2.24
556.0;22;Inconnu;0.0
499.0;22;Fluide;6.71889
499.0;22;Inconnu;0.0
179.0;22;Fluide;1.29556
273.0;22;Fluide;1.60333
134.0;22;Fluide;2.09667
65.0;22;Fluide;0.88778
272.0;22;Inconnu;0.0
272.0;22;Fluide;2.06389
359.0;22;Fluide;3.21611
154.0;22;Fluide;2.18223
0.0;22;Fluide;2.56333
132.0;22;Fluide;2.15055
132.0;22;Fluide;3.90389
261.0;22;Pré-saturé;20.73778
3775.0;22;Fluide;9.7
156.0;22;Pré-saturé;27.90333
3469.0;22;Pré-saturé;15.0
3881.0;22;Fluide;11.15
458.0;22;Fluide;3.55111
334.0;22;Fluide;7.18333
0.0;22;Fluide;12.69889
0.0;22;Pré-saturé;15.44389
437.0;22;Fluide;2.34056
1137.0;22;Inconnu;0.0
651.0;22;Fluide;3.42778
166.0;22;Fluide;0.31333
273.0;22;Fluide;0.90722
631.0;22;Fluide;1.00945
0.0;22;Fluide;2.23111
401.0;22;Fluide;2.78444
112.0;22;Fluide;2.75445
0.0;22;Fluide;5.535
294.0;22;Inconnu;0.0
377.0;22;Fluide;4.08445
114.0;22;Fluide;3.61389
277.0;22;Fluide;6.075
115.0;22;Fluide;3.84445
683.0;22;Fluide;6.71667
230.0;22;Fluide;7.065
90.0;22;Fluide;0.68723
438.0;22;Inconnu;0.0
438.0;22;Fluide;1.85056
97.0;22;Inconnu;0.0
683.0;22;Fluide;6.06222
230.0;22;Fluide;5.03167
185.0;22;Fluide;5.51611
185.0;22;Fluide;2.14611
178.0;22;Fluide;3.76
185.0;22;Fluide;1.76611
178.0;22;Fluide;2.91389
287.0;22;Fluide;2.65667
178.0;22;Fluide;2.52556
287.0;22;Fluide;2.63889
287.0;22;Fluide;3.99278
0.0;22;Fluide;10.87445
453.0;22;Fluide;3.27
453.0;22;Fluide;0.03444
453.0;22;Inconnu;0.0
0.0;22;Fluide;0.49667
0.0;22;Fluide;3.15889
0.0;22;Fluide;3.14667
112.0;22;Fluide;2.32667
112.0;22;Pré-saturé;15.71167
0.0;22;Fluide;5.335
197.0;22;Fluide;1.59445
197.0;22;Fluide;3.87222
304.0;22;Fluide;5.78389
94.0;22;Fluide;2.30889
94.0;22;Fluide;2.08722
94.0;22;Fluide;2.16667
0.0;22;Fluide;6.14889
239.0;22;Fluide;3.35389
0.0;22;Fluide;1.75722
369.0;22;Fluide;9.80389
139.2;22;Fluide;1.93444
128.0;22;Fluide;1.42611
274.0;22;Fluide;5.65611
233.0;22;Fluide;9.375
785.0;22;Pré-saturé;16.05278
50.0;22;Fluide;7.42556
152.0;22;Fluide;2.01945
9.0;22;Fluide;5.63556
229.0;22;Fluide;1.82556
50.0;22;Fluide;0.89667
109.0;22;Fluide;0.90834
152.0;22;Fluide;0.66
152.0;22;Fluide;5.65611
172.0;22;Fluide;1.87333
338.0;22;Fluide;4.58667
249.0;22;Fluide;2.97833
210.0;22;Fluide;4.62389
306.0;22;Fluide;3.33667
198.0;22;Fluide;2.09
172.0;22;Fluide;1.62
0.0;22;Fluide;1.44722
186.0;22;Fluide;4.695
198.0;22;Fluide;3.86445
